count,state,sex,work_status,exercise
1,state_average,both,total,22
2,Alabama,both,total,19
3,Alaska,both,total,27
4,Arizona,both,total,26
5,Arkansas,both,total,15
6,California,both,total,24
7,Colorado,both,total,32
8,Connecticut,both,total,24
9,Delaware,both,total,20
10,District of Columbia,both,total,30
11,Florida,both,total,21
12,Georgia,both,total,20
13,Hawaii,both,total,24
14,Idaho,both,total,31
15,Illinois,both,total,24
16,Indiana,both,total,15
17,Iowa,both,total,22
18,Kansas,both,total,23
19,Kentucky,both,total,14
20,Louisiana,both,total,20
21,Maine,both,total,24
22,Maryland,both,total,22
23,Massachusetts,both,total,29
24,Michigan,both,total,23
25,Minnesota,both,total,27
26,Mississippi,both,total,13
27,Missouri,both,total,23
28,Montana,both,total,20
29,Nebraska,both,total,23
30,Nevada,both,total,23
31,New Hampshire,both,total,30
32,New Jersey,both,total,21
33,New Mexico,both,total,23
34,New York,both,total,18
35,North Carolina,both,total,22
36,North Dakota,both,total,20
37,Ohio,both,total,23
38,Oklahoma,both,total,19
39,Oregon,both,total,25
40,Pennsylvania,both,total,25
41,Rhode Island,both,total,25
42,South Carolina,both,total,14
43,South Dakota,both,total,17
44,Tennessee,both,total,17
45,Texas,both,total,23
46,Utah,both,total,28
47,Vermont,both,total,29
48,Virginia,both,total,24
49,Washington,both,total,28
50,West Virginia,both,total,16
51,Wisconsin,both,total,23
52,Wyoming,both,total,27
53,state_average,male,all,27
54,Alabama,male,all,24
55,Alaska,male,all,33
56,Arizona,male,all,29
57,Arkansas,male,all,19
58,California,male,all,28
59,Colorado,male,all,33
60,Connecticut,male,all,28
61,Delaware,male,all,24
62,District of Columbia,male,all,40
63,Florida,male,all,27
64,Georgia,male,all,27
65,Hawaii,male,all,31
66,Idaho,male,all,35
67,Illinois,male,all,28
68,Indiana,male,all,20
69,Iowa,male,all,24
70,Kansas,male,all,24
71,Kentucky,male,all,17
72,Louisiana,male,all,23
73,Maine,male,all,27
74,Maryland,male,all,29
75,Massachusetts,male,all,32
76,Michigan,male,all,28
77,Minnesota,male,all,31
78,Mississippi,male,all,17
79,Missouri,male,all,29
80,Montana,male,all,20
81,Nebraska,male,all,26
82,Nevada,male,all,25
83,New Hampshire,male,all,30
84,New Jersey,male,all,25
85,New Mexico,male,all,27
86,New York,male,all,22
87,North Carolina,male,all,26
88,North Dakota,male,all,21
89,Ohio,male,all,29
90,Oklahoma,male,all,24
91,Oregon,male,all,28
92,Pennsylvania,male,all,29
93,Rhode Island,male,all,30
94,South Carolina,male,all,20
95,South Dakota,male,all,17
96,Tennessee,male,all,20
97,Texas,male,all,28
98,Utah,male,all,29
99,Vermont,male,all,35
100,Virginia,male,all,29
101,Washington,male,all,31
102,West Virginia,male,all,19
103,Wisconsin,male,all,26
104,Wyoming,male,all,29
105,state_average,female,all,18
106,Alabama,female,all,14
107,Alaska,female,all,23
108,Arizona,female,all,23
109,Arkansas,female,all,11
110,California,female,all,19
111,Colorado,female,all,31
112,Connecticut,female,all,21
113,Delaware,female,all,15
114,District of Columbia,female,all,22
115,Florida,female,all,15
116,Georgia,female,all,14
117,Hawaii,female,all,18
118,Idaho,female,all,27
119,Illinois,female,all,20
120,Indiana,female,all,10
121,Iowa,female,all,19
122,Kansas,female,all,21
123,Kentucky,female,all,11
124,Louisiana,female,all,17
125,Maine,female,all,20
126,Maryland,female,all,16
127,Massachusetts,female,all,26
128,Michigan,female,all,18
129,Minnesota,female,all,24
130,Mississippi,female,all,9
131,Missouri,female,all,17
132,Montana,female,all,20
133,Nebraska,female,all,21
134,Nevada,female,all,21
135,New Hampshire,female,all,31
136,New Jersey,female,all,16
137,New Mexico,female,all,18
138,New York,female,all,15
139,North Carolina,female,all,19
140,North Dakota,female,all,18
141,Ohio,female,all,18
142,Oklahoma,female,all,14
143,Oregon,female,all,22
144,Pennsylvania,female,all,21
145,Rhode Island,female,all,21
146,South Carolina,female,all,10
147,South Dakota,female,all,15
148,Tennessee,female,all,14
149,Texas,female,all,19
150,Utah,female,all,27
151,Vermont,female,all,23
152,Virginia,female,all,19
153,Washington,female,all,26
154,West Virginia,female,all,14
155,Wisconsin,female,all,21
156,Wyoming,female,all,24
157,state_average,male,working,28
158,Alabama,male,working,25
159,Alaska,male,working,31
160,Arizona,male,working,31
161,Arkansas,male,working,21
162,California,male,working,29
163,Colorado,male,working,34
164,Connecticut,male,working,29
165,Delaware,male,working,23
166,District of Columbia,male,working,40
167,Florida,male,working,27
168,Georgia,male,working,29
169,Hawaii,male,working,32
170,Idaho,male,working,36
171,Illinois,male,working,29
172,Indiana,male,working,21
173,Iowa,male,working,23
174,Kansas,male,working,26
175,Kentucky,male,working,21
176,Louisiana,male,working,25
177,Maine,male,working,32
178,Maryland,male,working,29
179,Massachusetts,male,working,34
180,Michigan,male,working,30
181,Minnesota,male,working,30
182,Mississippi,male,working,19
183,Missouri,male,working,31
184,Montana,male,working,24
185,Nebraska,male,working,25
186,Nevada,male,working,25
187,New Hampshire,male,working,30
188,New Jersey,male,working,27
189,New Mexico,male,working,29
190,New York,male,working,25
191,North Carolina,male,working,27
192,North Dakota,male,working,22
193,Ohio,male,working,31
194,Oklahoma,male,working,24
195,Oregon,male,working,30
196,Pennsylvania,male,working,31
197,Rhode Island,male,working,32
198,South Carolina,male,working,21
199,South Dakota,male,working,17
200,Tennessee,male,working,22
201,Texas,male,working,28
202,Utah,male,working,30
203,Vermont,male,working,40
204,Virginia,male,working,32
205,Washington,male,working,33
206,West Virginia,male,working,21
207,Wisconsin,male,working,27
208,Wyoming,male,working,31
209,state_average,female,working,20
210,Alabama,female,working,15
211,Alaska,female,working,24
212,Arizona,female,working,26
213,Arkansas,female,working,13
214,California,female,working,21
215,Colorado,female,working,33
216,Connecticut,female,working,24
217,Delaware,female,working,17
218,District of Columbia,female,working,24
219,Florida,female,working,17
220,Georgia,female,working,15
221,Hawaii,female,working,19
222,Idaho,female,working,27
223,Illinois,female,working,24
224,Indiana,female,working,12
225,Iowa,female,working,20
226,Kansas,female,working,23
227,Kentucky,female,working,14
228,Louisiana,female,working,20
229,Maine,female,working,23
230,Maryland,female,working,18
231,Massachusetts,female,working,28
232,Michigan,female,working,21
233,Minnesota,female,working,26
234,Mississippi,female,working,10
235,Missouri,female,working,18
236,Montana,female,working,25
237,Nebraska,female,working,22
238,Nevada,female,working,22
239,New Hampshire,female,working,32
240,New Jersey,female,working,16
241,New Mexico,female,working,21
242,New York,female,working,17
243,North Carolina,female,working,19
244,North Dakota,female,working,20
245,Ohio,female,working,21
246,Oklahoma,female,working,14
247,Oregon,female,working,26
248,Pennsylvania,female,working,23
249,Rhode Island,female,working,26
250,South Carolina,female,working,12
251,South Dakota,female,working,16
252,Tennessee,female,working,15
253,Texas,female,working,21
254,Utah,female,working,26
255,Vermont,female,working,26
256,Virginia,female,working,20
257,Washington,female,working,29
258,West Virginia,female,working,18
259,Wisconsin,female,working,23
260,Wyoming,female,working,29
261,state_average,male,non_working,21
262,Alabama,male,non_working,23
263,Alaska,male,non_working,33
264,Arizona,male,non_working,22
265,Arkansas,male,non_working,14
266,California,male,non_working,24
267,Colorado,male,non_working,26
268,Connecticut,male,non_working,22
269,Delaware,male,non_working,25
270,District of Columbia,male,non_working,43
271,Florida,male,non_working,25
272,Georgia,male,non_working,21
273,Hawaii,male,non_working,25
274,Idaho,male,non_working,34
275,Illinois,male,non_working,21
276,Indiana,male,non_working,11
